Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
863-NVHL050N65S3HF,NVHL050N65S3HF,onsemi,https://eu.mouser.com/datasheet/3/101/1/NVHL050N65S3HF-D.PDF,563  In Stock,"=""4,98 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/onsemi/NVHL050N65S3HF?qs=W%2FMpXkg%252BdQ6QGz%2FCfzP%252BDw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NVHL050N65S3HF&utm_content=onsemi,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""58 A""",50 mOhms,"- 30 V, + 30 V",5 V,119 nC,- 55 C,+ 150 C,403 W,Enhancement,AEC-Q101,,Tube
726-IPW65R048CFDAFKS,IPW65R048CFDAFKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW65R048CFDA-DS-v02_00-en.pdf,212  In Stock,"=""5,23 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW65R048CFDAFKSA1?qs=4MqXaUMeF55hmz3f1nxZyg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R048CFDAFKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""63.3 A""",43 mOhms,"- 20 V, + 20 V",3.5 V,270 nC,- 40 C,+ 150 C,500 W,Enhancement,AEC-Q100,CoolMOS,Tube
726-IPW60R060P7XKSA1,IPW60R060P7XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW60R060P7-DS-v02_01-EN.pdf,3.116  In Stock,"=""5,29 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW60R060P7XKSA1?qs=HXFqYaX1Q2zGPImanxaIWw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R060P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""48 A""",49 mOhms,"- 20 V, + 20 V",3 V,67 nC,- 55 C,+ 150 C,164 W,Enhancement,,CoolMOS,Tube
78-SIHG73N60AE-GE3,SIHG73N60AE-GE3,Vishay Semiconductors,https://www.vishay.com/doc?91983,144  In Stock,"=""5,72 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIHG73N60AE-GE3?qs=7EBvPakHacXKwrnkfhz3ug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG73N60AE-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""60 A""",35 mOhms,"- 30 V, + 30 V",4 V,394 nC,- 55 C,+ 150 C,417 W,Enhancement,,,
511-STW70N60M2,STW70N60M2,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw70n60m2.pdf,751  In Stock,"=""5,83 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/STMicroelectronics/STW70N60M2?qs=Rlwi1sSxVL4hmaII3E%2FvIA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW70N60M2&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""68 A""",30 mOhms,"- 25 V, + 25 V",3 V,118 nC,- 55 C,+ 150 C,450 W,Enhancement,,MDmesh,Tube
726-IPW60R037CM8XKSA,IPW60R037CM8XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW60R037CM8-DataSheet-v02_01-EN.pdf,35  In Stock,"=""6,11 €""",RoHS Compliant,New Product,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW60R037CM8XKSA1?qs=2wMNvWM5ZX6iR5SSpR9OjA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R037CM8XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""64 A""",37 mOhms,"- 20 V, + 20 V",4.7 V,79 nC,- 55 C,+ 150 C,329 W,Enhancement,,CoolMOS,Tube
726-IPW65R045C7FKSA1,IPW65R045C7FKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW65R045C7-DS-v02_01-en.pdf,429  In Stock,"=""6,25 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW65R045C7FKSA1?qs=WkdRfq4wf1P4QQzNa9V3lA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R045C7FKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""46 A""",40 mOhms,"- 20 V, + 20 V",3.5 V,93 nC,- 55 C,+ 150 C,227 W,Enhancement,,CoolMOS,Tube
726-IPW65R050CFD7AXK,IPW65R050CFD7AXKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW65R050CFD7A-DataSheet-v02_02-EN.pdf,1.338  In Stock,"=""6,30 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW65R050CFD7AXKSA1?qs=OlC7AqGiEDm4ztoS376shw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R050CFD7AXKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""45 A""",50 mOhms,"- 20 V, + 20 V",4 V,102 nC,- 55 C,+ 150 C,227 W,Enhancement,AEC-Q101,CoolMOS,Tube
511-STW72N60DM2AG,STW72N60DM2AG,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw72n60dm2ag.pdf,468  In Stock,"=""6,39 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/STMicroelectronics/STW72N60DM2AG?qs=XtgyILOJlWOtBr%2FwaXEHKQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW72N60DM2AG&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""66 A""",42 mOhms,"- 25 V, + 25 V",4 V,121 nC,- 55 C,+ 150 C,446 W,Enhancement,AEC-Q101,MDmesh,Tube
726-IPW60R045P7XKSA1,IPW60R045P7XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW60R045P7-DS-v02_00-EN.pdf,412  In Stock,"=""6,42 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW60R045P7XKSA1?qs=qSfuJ%252Bfl%2Fd6%252B%252BwBcBf6DHg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R045P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""61 A""",45 mOhms,"- 20 V, + 20 V",3.5 V,90 nC,- 55 C,+ 150 C,201 W,Enhancement,,CoolMOS,Tube
511-STWA65N65DM2AG,STWA65N65DM2AG,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa65n65dm2ag.pdf,548  In Stock,"=""6,62 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/STMicroelectronics/STWA65N65DM2AG?qs=l7cgNqFNU1heSIxSO2gWvg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA65N65DM2AG&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""60 A""",50 mOhms,"- 25 V, + 25 V",3 V,120 nC,- 55 C,+ 150 C,446 W,Enhancement,AEC-Q101,MDmesh,Tube
511-STW75N60DM6,STW75N60DM6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa75n60dm6.pdf,410  In Stock,"=""6,72 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/STMicroelectronics/STW75N60DM6?qs=byeeYqUIh0Oyg4jkimtPng%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW75N60DM6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""72 A""",36 mOhms,"- 25 V, + 25 V",3.25 V,117 nC,- 55 C,+ 150 C,446 W,Enhancement,,MDmesh,Tube
511-STWA75N60M6,STWA75N60M6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa75n60m6.pdf,496  In Stock,"=""6,73 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/STMicroelectronics/STWA75N60M6?qs=%252BEew9%252B0nqrCXcHfSF9fhZA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA75N60M6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""72 A""",36 mOhms,"- 25 V, + 25 V",3.25 V,106 nC,- 55 C,+ 150 C,446 W,Enhancement,,MDmesh,Tube
747-IXTH62N65X2,IXTH62N65X2,IXYS,https://eu.mouser.com/datasheet/3/100/1/Littelfuse-Discrete-MOSFETs-N-Channel-Ultra-Junction-IXTH62N65X2-Datasheet.PDF,226  In Stock,"=""6,89 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/IXYS/IXTH62N65X2?qs=uwxL4vQweFOU8MuQLTmSuw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH62N65X2&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""62 A""",50 mOhms,"- 30 V, + 30 V",2.7 V,100 nC,- 55 C,+ 150 C,780 W,Enhancement,,HiPerFET,Tube
726-IPW65R041CFD7XKS,IPW65R041CFD7XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW65R041CFD7-DataSheet-v02_01-EN.pdf,,"=""7,41 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW65R041CFD7XKSA1?qs=sPbYRqrBIVmSJmwjRw9xOw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R041CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,700 V,"=""68.5 A""",41 mOhms,"- 20 V, + 20 V",4 V,300 nC,- 55 C,+ 150 C,500 W,Enhancement,,,Tube
726-IPW60R037P7XKSA1,IPW60R037P7XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW60R037P7-DS-v02_03-EN.pdf,2.121  In Stock,"=""7,50 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW60R037P7XKSA1?qs=AQlKX63v8RsTUlvVokSDiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R037P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""76 A""",30 mOhms,"- 20 V, + 20 V",3 V,121 nC,- 55 C,+ 150 C,255 W,Enhancement,,CoolMOS,Tube
726-IPW60R040CFD7XKS,IPW60R040CFD7XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW60R040CFD7-DS-v02_01-EN.pdf,537  In Stock,"=""7,51 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW60R040CFD7XKSA1?qs=W0yvOO0ixfHv4HvF9dVKog%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R040CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""50 A""",40 mOhms,"- 20 V, + 20 V",3.5 V,109 nC,- 55 C,+ 150 C,227 W,Enhancement,,,Tube
863-NTHL041N60S5H,NTHL041N60S5H,onsemi,https://eu.mouser.com/datasheet/3/101/1/NTHL041N60S5H-D.PDF,703  In Stock,"=""7,95 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/onsemi/NTHL041N60S5H?qs=aP1CjGhiNiHBmSJ4XtvMiA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NTHL041N60S5H&utm_content=onsemi,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""57 A""",41 mOhms,"- 30 V, + 30 V",4.3 V,108 nC,- 55 C,+ 150 C,329 W,Enhancement,,,Tube
726-IPW60R037CSFDXKS,IPW60R037CSFDXKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW60R037CSFD-DS-v02_00-EN.pdf,236  In Stock,"=""8,03 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW60R037CSFDXKSA1?qs=W0yvOO0ixfECXZsXbSHHLg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R037CSFDXKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""54 A""",37 mOhms,"- 20 V, + 20 V",3.5 V,136 nC,- 55 C,+ 150 C,245 W,Enhancement,,,Tube
511-STW75N60M6,STW75N60M6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw75n60m6.pdf,595  In Stock,"=""8,25 €""",RoHS Compliant By Exemption,,https://eu.mouser.com/ProductDetail/STMicroelectronics/STW75N60M6?qs=%252BEew9%252B0nqrAPzNxgcF%252BL%252BA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW75N60M6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""72 A""",36 mOhms,"- 25 V, + 25 V",3.25 V,106 nC,- 55 C,+ 150 C,446 W,Enhancement,,MDmesh,Tube
726-IPW65R029CFD7XKS,IPW65R029CFD7XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW65R029CFD7-DataSheet-v02_01-EN.pdf,176  In Stock,"=""8,38 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW65R029CFD7XKSA1?qs=GedFDFLaBXEKlCOXJeSVaw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R029CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,700 V,"=""69 A""",29 mOhms,"- 20 V, + 20 V",4.5 V,145 nC,- 55 C,+ 150 C,305 W,Enhancement,,,Tube
78-SIHG039N60EF-GE3,SIHG039N60EF-GE3,Vishay / Siliconix,https://www.vishay.com/doc?92209,276  In Stock,"=""8,44 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Vishay-Siliconix/SIHG039N60EF-GE3?qs=UkDUCjYnTB0xoGON1zEyVA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG039N60EF-GE3&utm_content=Vishay-%2F-Siliconix,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""61 A""",40 mOhms,"- 30 V, + 30 V",3 V,84 nC,- 55 C,+ 150 C,357 W,Enhancement,,,Tube
726-IPW60R031CFD7XKS,IPW60R031CFD7XKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW60R031CFD7-DS-v02_01-EN.pdf,911  In Stock,"=""8,51 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW60R031CFD7XKSA1?qs=xhbEVWpZdWcTDHVsjJqoJA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R031CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""63 A""",26 mOhms,"- 20 V, + 20 V",3.5 V,141 nC,- 55 C,+ 150 C,278 W,Enhancement,,CoolMOS,Tube
726-IPW65R035CFD7AXK,IPW65R035CFD7AXKSA1,Infineon Technologies,https://eu.mouser.com/datasheet/3/70/1/Infineon-IPW65R035CFD7A-DataSheet-v02_01-EN.pdf,250  In Stock,"=""8,57 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Infineon-Technologies/IPW65R035CFD7AXKSA1?qs=GedFDFLaBXGlQTbzdc0Oow%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R035CFD7AXKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""63 A""",35 mOhms,"- 20 V, + 20 V",4.5 V,145 nC,- 55 C,+ 150 C,305 W,Enhancement,AEC-Q101,CoolMOS,Tube
78-SIHG050N60E-GE3,SIHG050N60E-GE3,Vishay Semiconductors,https://www.vishay.com/doc?92091,561  In Stock,"=""8,73 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SIHG050N60E-GE3?qs=w%2Fv1CP2dgqpIVR2tAWoEtQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG050N60E-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""51 A""",50 mOhms,"- 30 V, + 30 V",5 V,130 nC,- 55 C,+ 150 C,278 W,Enhancement,,,
