"Reference";"Qty";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Datasheet"
"C1;C10;C47";"3";"EEV-FK1V471Q";"";"";"";"EEV-FK1V471Q:EEEFK0J332AQ";"http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf"
"C2;C3;C15;C17;C25;C44;C59;C60;C62;C71";"10";"GRM31CR71E106KA12K";"";"";"";"GRM31CR71E106KA12K:GRM31x";"https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM31CR71E106KA12-01CA.pdf"
"C4;C5;C9;C12;C13;C14;C16;C18;C22;C24;C39;C40;C41;C42";"14";"SH21B104K101CT";"";"";"";"Capacitor_SMD:C_0805_2012Metric";"~"
"C6;C7;C8;C79;C80;C81";"6";"B40910A8127M000";"";"";"";"B40910A8127M000:B40910A8127M000";"https://product.tdk.com/system/files/dam/doc/product/capacitor/aluminum-electrolytic/hybrid-polymer/data_sheet/20/30/db/aec/b40910.pdf"
"C11;C48;C49;C50;C51;C52;C53;C54;C55;C64;C65;C66";"12";"885342208008";"";"";"";"Capacitor_SMD:C_1206_3216Metric";"https://www.we-online.com/components/products/datasheet/885342208008.pdf"
"C19;C34;C35";"3";"1uF";"";"";"";"";"~"
"C20";"1";"100pF";"";"";"";"";"~"
"C21;C72;C73;C74;C75;C76;C77;C78";"8";"B32672L8153J";"";"";"";"B32672L8153J000:CAPRR1500W80L1800T850H1450";"https://product.tdk.com/system/files/dam/doc/product/capacitor/film/mkp_mfp/data_sheet/20/20/db/fc_2009/mkp_b32671l_672l.pdf"
"C23";"1";"10nF 630V";"";"";"";"Capacitor_SMD:C_1206_3216Metric";"~"
"C26";"1";"1nF";"";"";"";"";"~"
"C27;C29;C30;C33;C36";"5";"1n";"";"";"";"";"~"
"C28;C31;C32;C37;C38";"5";"100nF";"";"";"";"Capacitor_SMD:C_1206_3216Metric";"https://www.mouser.fr/datasheet/2/210/WTC_MLCC_General_Purpose-1534899.pdf"
"C43";"1";"10u 50v 1206";"";"";"";"Capacitor_SMD:C_1206_3216Metric";"~"
"C56;C57";"2";"R46KI310050M1K";"";"";"";"R46KI310050M1K:R46KI310050M1K";"https://search.kemet.com/component-documentation/download/specsheet/R46KI310050M1K"
"C58";"1";"875115350002";"";"";"";"CAPAE830X770N";"http://katalog.we-online.de/pbs/datasheet/875115350002.pdf"
"C67";"1";"4uF 600VDC Film";"";"";"";"Capacitor_THT:C_Rect_L33.0mm_W13.0mm_P27.50mm_MKS4";"~"
"C69";"1";"A768EB107M1ELAS036";"";"";"";"A768EB107M1ELAS036:CAPAE660X600N";"https://content.kemet.com/datasheets/KEM_A4088_A768.pdf"
"D1";"1";"US1J";"";"";"";"Diode_SMD:D_SMA";"https://www.diodes.com/assets/Datasheets/ds16008.pdf"
"D3;D4;D5;D7";"4";"MBRS340";"";"";"";"Diode_SMD:D_SMC";"https://www.onsemi.com/download/data-sheet/pdf/mbrs340t3-d.pdf"
"FL1";"1";"PA2756NLT";"";"";"";"PA2756NLT:PA2756NLT";""
"IC1;IC7";"2";"NCP43080DDR2G";"";"";"";"Package_SO:SOIC-8_3.9x4.9mm_P1.27mm";"https://www.onsemi.com/download/data-sheet/pdf/ncp43080-d.pdf"
"IC2";"1";"LM2575HVS-12_NOPB";"";"";"";"LM2575HVS-12_NOPB:LM2575HVS12NOPB";"http://www.ti.com/lit/gpn/lm2575hv"
"IC3";"1";"LM2575-3.3WU-TR";"";"";"";"LM2575-3.3WU-TR:MIC29302WU";"http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en579004"
"IC4";"1";"LT6654BIS6-2.048#TRMPBF";"";"";"";"LT6654BIS6-2.048#TRMPBF:SOT95P280X100-6N";"https://www.analog.com/media/en/technical-documentation/data-sheets/lt6654.pdf"
"IC6";"1";"SN74HC74DRG4";"";"";"";"SN74HC74DRG4:SOIC127P600X175-14N";"http://www.ti.com/lit/gpn/SN74HC74"
"IC8";"1";"TMCS1107A1UQDRQ1";"";"";"";"TMCS1107A4UQDRQ1:SOIC127P600X175-8N";"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=https://www.ti.com/lit/gpn/tmcs1107-q1"
"IC9";"1";"ACS70331EOLCTR-005U3";"";"";"";"ACS70331EOLCTR-005U3:SOIC127P600X175-8N";"https://www.allegromicro.com/-/media/files/datasheets/acs70331-datasheet.ashx"
"IC10";"1";"ISO7741BDWR";"";"";"";"ISO7741BDWR:SOIC127P1030X265-16N";"https://www.ti.com/lit/gpn/ISO7741"
"L2";"1";"ELP 43/10/28 & I 43/10/28";"";"";"";"New_Linrary:ELP_43_10_28";"~"
"L3;L5";"2";"PM5022-331M-RC";"";"";"";"PM5022-331M-RC:PM5022331MRC";"https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-DGA11/2187790.pdf"
"PS1";"1";"TNY280GN-TL";"";"";"";"TNY280GN-TL:TNY280GNTL";""
"Q1;Q2";"2";"IPW60R037CM8XKSA1";"";"";"";"Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown";""
"Q3;Q4";"2";"FDH055N15A";"";"";"";"Package_TO_SOT_THT:TO-247-3_Horizontal_TabDown";"https://www.onsemi.com/pub/Collateral/FDH055N15A-D.PDF"
"R1;R2;R9;R10;R11;R12;R13;R14;R15;R16;R17;R34";"12";"R";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"R5;R28;R30";"3";"10k";"";"";"";"";"~"
"R6;R7;R8";"3";"R";"";"";"";"";"~"
"R18";"1";"82K 2W";"";"";"";"Resistor_SMD:R_2512_6332Metric";"~"
"R19";"1";"1K 125mW";"";"";"";"Resistor_SMD:R_0805_2012Metric";"~"
"R20;R21;R22;R23;R24";"5";"100K 0.1% 520mW";"";"";"";"Resistor_SMD:R_1206_3216Metric";"https://www.vishay.com/docs/28952/mcr0201at-mca1206at.pdf,~"
"R25";"1";"1K 0.1% 250mW";"";"";"";"Resistor_SMD:R_1206_3216Metric";"https://www.mouser.fr/datasheet/2/385/SEI_RNCE-3567365.pdf"
"R26";"1";"66K5 0.1% 250mW";"";"";"";"";"https://www.mouser.fr/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_12-3003070.pdf"
"R27";"1";"1K 0.1% 250mW";"";"";"";"";"https://www.mouser.fr/datasheet/2/385/SEI_RNCE-3567365.pdf"
"R29;R31";"2";"5k";"";"";"";"";"~"
"R32";"1";"47k";"";"";"";"";"~"
"R33";"1";"200k";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"R39;R41";"2";"35203R9JT";"";"";"";"Resistor_SMD:R_2512_6332Metric";"~"
"R40";"1";"220 125mW";"";"";"";"Resistor_SMD:R_0805_2012Metric";"~"
"R42";"1";"20k";"";"";"";"";"~"
"R43";"1";"100k";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"RV1;RV2;RV4;RV5";"4";"100k";"";"";"";"";"~"
"T2";"1";"Transformer_1P_2S";"";"";"";"New_Linrary:Trans_planner_buck";"~"
"T3";"1";"ELP/102/20/38 & I/102/38/20";"";"";"";"New_Linrary:ELP_102_20_38";"https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_64_10_50.pdf"
"TH1";"1";"Thermistor";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"TP1;TP2";"2";"TestPoint";"";"";"";"TestPoint:TestPoint_Pad_D4.0mm";"~"
"U2";"1";"PC817A";"";"";"";"New_Linrary:PC817";"http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U3";"1";"stm32F103C8T6-CH340";"";"";"";"";""
"U4";"1";"ESP32-S3-SuperMini";"";"";"";"New_Linrary:ESP32_S3_SuperMini";""
"U5";"1";"SI82394AD-IS";"";"";"";"Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm";"https://eu.mouser.com/datasheet/2/472/si8239x_data_sheet-2507466.pdf"
"U7";"1";"AMC3330";"";"";"";"Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm";"https://www.ti.com/lit/ds/symlink/amc3330.pdf"
"U8";"1";"TLV6001IDCKT";"";"";"";"Package_TO_SOT_SMD:SOT-353_SC-70-5";"http://www.ti.com/lit/ds/symlink/tlv6001.pdf"
"U9";"1";"TLV9024QDRQ1";"";"";"";"Package_SO:SOIC-14_3.9x8.7mm_P1.27mm";"https://www.ti.com/lit/ds/symlink/tlv9022-q1.pdf"
"Z2";"1";"BZT52C11-7-F";"";"";"";"BZT52C11-7-F:SOD3716X145N";"https://www.diodes.com//assets/Datasheets/ds18004.pdf"
